voltage,current
0.5237,0.0000000125
0.5481,0.0000000305
0.5755,0.000000071
0.5998,0.000000165
0.6242,0.000000394
0.6495,0.000000929
0.6731,0.00000221
0.6982,0.00000492
0.7242,0.0000111
0.7492,0.0000238
0.7744,0.0000517
0.7995,0.000107
0.8239,0.000217
0.8498,0.000431
0.875,0.000814
0.9001,0.00144
0.9252,0.00234
0.9496,0.0035
0.9755,0.00508
1.0006,0.00702
1.0246,0.0087
1.0492,0.0109
1.0738,0.0132
1.0984,0.0158
1.1238,0.0187
1.1502,0.0216
1.1748,0.0247
1.2002,0.028
1.224,0.0313
1.2494,0.0349
1.2749,0.0386
1.2995,0.0424
1.3241,0.0463
1.3504,0.0502
1.375,0.0544
1.4014,0.0585
1.4242,0.0629
1.4487,0.0673
1.4761,0.0716
1.4998,0.076
